,STATION,NAME,DATE,Precipitation (inches),Snowfall (inches),Snow Depth (inches),Avg Hourly Temp (Fahrenheit),Highest Hourly Temp (Fahrenheit),Lowest Hourly Temp (Fahrenheit),Temperature at Observation (Fahrenheit),Year,Month,Day,Month & Day,Year & Month
137,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-18,0.0,0.0,0.0,,87.0,63.0,,1934,5,18,05-18,1934-05
138,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-19,0.0,0.0,0.0,,90.0,65.0,,1934,5,19,05-19,1934-05
139,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-20,0.0,0.0,0.0,,90.0,68.0,,1934,5,20,05-20,1934-05
140,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-21,0.01,0.0,0.0,,90.0,66.0,,1934,5,21,05-21,1934-05
141,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-22,0.0,0.0,0.0,,74.0,59.0,,1934,5,22,05-22,1934-05
142,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-23,0.0,0.0,0.0,,84.0,53.0,,1934,5,23,05-23,1934-05
143,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-24,0.0,0.0,0.0,,71.0,55.0,,1934,5,24,05-24,1934-05
144,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-25,0.0,0.0,0.0,,71.0,48.0,,1934,5,25,05-25,1934-05
145,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-26,0.0,0.0,0.0,,75.0,46.0,,1934,5,26,05-26,1934-05
146,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-27,0.0,0.0,0.0,,83.0,48.0,,1934,5,27,05-27,1934-05
147,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-28,0.0,0.0,0.0,,87.0,52.0,,1934,5,28,05-28,1934-05
148,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-29,0.0,0.0,0.0,,98.0,63.0,,1934,5,29,05-29,1934-05
149,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-30,0.0,0.0,0.0,,103.0,78.0,,1934,5,30,05-30,1934-05
150,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-31,0.0,0.0,0.0,,102.0,77.0,,1934,5,31,05-31,1934-05
151,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-06-01,0.0,0.0,0.0,,101.0,77.0,,1934,6,1,06-01,1934-06
152,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-06-02,0.0,0.0,0.0,,98.0,72.0,,1934,6,2,06-02,1934-06
153,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-06-03,0.07,0.0,0.0,,86.0,71.0,,1934,6,3,06-03,1934-06
